"coord","year","month","cm","coord","year","month","dump","season"
"A34",2002,"Apr",0,"A34",2002,"Apr",0,2002
"B34",2002,"Apr",0,"B34",2002,"Apr",0,2002
"C34",2002,"Apr",0,"C34",2002,"Apr",0,2002
"D34",2002,"Apr",0,"D34",2002,"Apr",0,2002
"E10",2002,"Apr",35,"E10",2002,"Apr",0,2002
"E24",2002,"Apr",20,"E24",2002,"Apr",0,2002
"E25",2002,"Apr",25,"E25",2002,"Apr",0,2002
"E26",2002,"Apr",30,"E26",2002,"Apr",0,2002
"E34",2002,"Apr",0,"E34",2002,"Apr",0,2002
"E8",2002,"Apr",35,"E8",2002,"Apr",0,2002
"E9",2002,"Apr",35,"E9",2002,"Apr",0,2002
"F10",2002,"Apr",35,"F10",2002,"Apr",0,2002
"F11",2002,"Apr",35,"F11",2002,"Apr",0,2002
"F22",2002,"Apr",25,"F22",2002,"Apr",0,2002
"F23",2002,"Apr",25,"F23",2002,"Apr",0,2002
"F24",2002,"Apr",25,"F24",2002,"Apr",0,2002
"F25",2002,"Apr",30,"F25",2002,"Apr",0,2002
"F26",2002,"Apr",30,"F26",2002,"Apr",0,2002
"F34",2002,"Apr",0,"F34",2002,"Apr",0,2002
"F9",2002,"Apr",35,"F9",2002,"Apr",0,2002
"G10",2002,"Apr",35,"G10",2002,"Apr",0,2002
"G20",2002,"Apr",20,"G20",2002,"Apr",0,2002
"G21",2002,"Apr",25,"G21",2002,"Apr",0,2002
"G22",2002,"Apr",25,"G22",2002,"Apr",0,2002
"G23",2002,"Apr",25,"G23",2002,"Apr",0,2002
"G24",2002,"Apr",25,"G24",2002,"Apr",0,2002
"G25",2002,"Apr",25,"G25",2002,"Apr",0,2002
"G26",2002,"Apr",30,"G26",2002,"Apr",0,2002
"G34",2002,"Apr",0,"G34",2002,"Apr",0,2002
"G8",2002,"Apr",35,"G8",2002,"Apr",0,2002
"G9",2002,"Apr",35,"G9",2002,"Apr",0,2002
"H18",2002,"Apr",20,"H18",2002,"Apr",0,2002
"H19",2002,"Apr",25,"H19",2002,"Apr",0,2002
"H20",2002,"Apr",25,"H20",2002,"Apr",0,2002
"H21",2002,"Apr",25,"H21",2002,"Apr",0,2002
"H22",2002,"Apr",25,"H22",2002,"Apr",0,2002
"H23",2002,"Apr",25,"H23",2002,"Apr",0,2002
"H24",2002,"Apr",25,"H24",2002,"Apr",0,2002
"H25",2002,"Apr",25,"H25",2002,"Apr",0,2002
"H26",2002,"Apr",25,"H26",2002,"Apr",0,2002
"H34",2002,"Apr",0,"H34",2002,"Apr",0,2002
"H7",2002,"Apr",37.5,"H7",2002,"Apr",0,2002
"H8",2002,"Apr",35,"H8",2002,"Apr",0,2002
"H9",2002,"Apr",35,"H9",2002,"Apr",0,2002
"I15",2002,"Apr",30,"I15",2002,"Apr",0,2002
"I16",2002,"Apr",35,"I16",2002,"Apr",0,2002
"I17",2002,"Apr",30,"I17",2002,"Apr",0,2002
"I19",2002,"Apr",25,"I19",2002,"Apr",0,2002
"I20",2002,"Apr",25,"I20",2002,"Apr",0,2002
"I21",2002,"Apr",25,"I21",2002,"Apr",0,2002
"I22",2002,"Apr",25,"I22",2002,"Apr",0,2002
"I23",2002,"Apr",25,"I23",2002,"Apr",0,2002
"I24",2002,"Apr",25,"I24",2002,"Apr",0,2002
"I25",2002,"Apr",25,"I25",2002,"Apr",0,2002
"I26",2002,"Apr",20,"I26",2002,"Apr",0,2002
"I27",2002,"Apr",30,"I27",2002,"Apr",0,2002
"I28",2002,"Apr",25,"I28",2002,"Apr",0,2002
"I34",2002,"Apr",0,"I34",2002,"Apr",0,2002
"I6",2002,"Apr",37.5,"I6",2002,"Apr",0,2002
"I7",2002,"Apr",37.5,"I7",2002,"Apr",0,2002
"J13",2002,"Apr",30,"J13",2002,"Apr",0,2002
"J14",2002,"Apr",35,"J14",2002,"Apr",0,2002
"J15",2002,"Apr",35,"J15",2002,"Apr",0,2002
"J16",2002,"Apr",25,"J16",2002,"Apr",0,2002
"J17",2002,"Apr",25,"J17",2002,"Apr",0,2002
"J18",2002,"Apr",20,"J18",2002,"Apr",0,2002
"J19",2002,"Apr",20,"J19",2002,"Apr",0,2002
"J20",2002,"Apr",25,"J20",2002,"Apr",0,2002
"J21",2002,"Apr",25,"J21",2002,"Apr",0,2002
"J22",2002,"Apr",25,"J22",2002,"Apr",0,2002
